Old URL,Page Type,Title,H1,Suggested Redirect,Status,Notes
https://psmphuket.com/property-feature/swimming-pool/page/4,archive,Swimming Pool - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-furnished/page/7,archive,Fully Furnished - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/swimming-pool/page/5,archive,Swimming Pool - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/kitchen/page/6,archive,Kitchen - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/property-feature/sea-view,archive,Sea View - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-feature/next-to-busy-way,archive,Next to busy way - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/6,archive,For Sale - Phuket Property Service - Page 6,,/properties,200,
https://psmphuket.com/author/jum/page/3,archive,jum - Phuket Property Service - Page 3,All Properties By,/properties,200,
https://psmphuket.com/property-feature/gym/page/5,archive,Gym - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/barbecue-area/page/7,archive,Barbecue Area - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/fire-alarm,archive,Fire Alarm - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-type/residential/page/5,archive,Residential - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-type/residential/page/2,archive,Residential - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/sunset-view,archive,Sunset View - Phuket Property Service,,/properties,200,
https://psmphuket.com/property-status/for-sale/page/7,archive,For Sale - Phuket Property Service - Page 7,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/5,archive,Covered Car Park - Phuket Property Service - Page 5,,/properties,200,
https://psmphuket.com/property-feature/covered-car-park/page/4,archive,Covered Car Park - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-equipped-kitchen/page/3,archive,Fully Equipped Kitchen - Phuket Property Service - Page 3,,/properties,200,
https://psmphuket.com/property-feature/lawn/page/2,archive,Lawn - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/swimming-pool/page/8,archive,Swimming Pool - Phuket Property Service - Page 8,,/properties,200,
https://psmphuket.com/property-status/for-rent/page/2,archive,For Rent - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-feature/balcony/page/4,archive,Balcony - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/fully-furnished/page/2,archive,Fully Furnished - Phuket Property Service - Page 2,,/properties,200,
https://psmphuket.com/property-type/condominium/page/4,archive,Condominium - Phuket Property Service - Page 4,,/properties,200,
https://psmphuket.com/property-feature/terace/page/9,archive,Terace - Phuket Property Service - Page 9,,/properties,200,
https://psmphuket.com/property-feature/laundry-room/page/2,archive,Laundry Room - Phuket Property Service - Page 2,,/properties,200,
